stop_id,stop_name,stop_lat,stop_lon,stop_code
176,CEDAR ST at HEWITT AVE - SB,47.978661,-122.193924,2906
177,MUKILTEO FERRY TERMINAL,47.948441,-122.304337,1465
178,SR 525 at 3RD ST - SB,47.946510,-122.304108,1455
179,5TH ST & LINCOLN AVE - EB,47.944794,-122.302849,3240
18,AIRPORT RD & KASCH PARK RD - NB,47.917892,-122.271492,5007
180,5TH ST & LOVELAND AVE - EB,47.945518,-122.298698,3235
181,5TH and PROSPECT,47.946346,-122.294281,3215
182,W MUKILTEO BLVD & LAMAR DR - EB,47.950443,-122.287498,3205
183,W MUKILTEO BLVD & UPLAND AVE - EB,47.952129,-122.282753,3195
184,W MUKILTEO BLVD & SOUND AVE - EB,47.952595,-122.280090,3185
185,MUKILTEO and 33RD,47.953037,-122.277550,3180
186,MUKILTEO and OCEAN,47.953461,-122.275299,3170
187,MUKILTEO and SEAVIEW,47.953575,-122.268005,3155
188,W MUKILTEO BLVD & 23RD AVE W - EB,47.953526,-122.263596,3150
189,W MUKILTEO BLVD & KIRBY PL - EB,47.954952,-122.261108,3140
19,CASINO and AIRPORT,47.920021,-122.269264,5005
190,W MUKILTEO BLVD & HARBOR LN - EB,47.957184,-122.255829,3125
191,MUKILTEO and GREELY,47.956776,-122.251381,3115
192,W MUKILTEO BLVD & GLENWOOD AVE - EB,47.957150,-122.247177,3105
193,W MUKILTEO BLVD & SEAHURST AVE - EB,47.958958,-122.242836,3095
194,MUKILTEO and GLENHAVEN,47.957287,-122.239967,3090
195,W MUKILTEO BLVD & DOGWOOD AVE - EB,47.956650,-122.231018,3075
196,MUKILTEO and FOREST PARK,47.959896,-122.224930,3035
197,MUKILTEO and 42ND,47.962128,-122.219803,3040
198,41ST  and RUCKER,47.963127,-122.212364,3020
199,HEWITT AVE & OAKES AVE - EB,47.979164,-122.203865,426
2,EVERETT MALL and WEST MALL,47.911255,-122.217476,6105
20,W CASINO RD & 23RD AVE W - EB,47.919971,-122.264893,5020
200,EVERETT STATION - D 2,47.974545,-122.197716,2430
201,BROADWAY & PACIFIC AVENUE - NB,47.977150,-122.201393,2887
202,HEWITT AVE at LOMBARD AVE - WB,47.979313,-122.202759,2440
203,HEWITT and ROCKEFELLER,47.979332,-122.205528,1355
204,41ST & COLBY AVE - WB,47.963402,-122.208611,1540
205,41ST ST & RUCKER - WB,47.963329,-122.211319,1545
206,MUKILTEO and 42ND,47.962093,-122.218979,3030
