route_id,trip_id,service_id,trip_headsign,direction_id,block_id
865,31070A727B1138,727A1138,E1,1,
865,31071A727B1138,727A1138,E1,1,
865,31072A727B1138,727A1138,E1,1,
865,31073A727B1138,727A1138,E1,1,
865,31074A727B1138,727A1138,E1,1,
865,31075A727B1138,727A1138,E1,1,
865,31076A727B1138,727A1138,E1,1,
865,31077A727B1138,727A1138,E1,1,
865,31078A727B1138,727A1138,E1,1,
865,31079A727B1138,727A1138,E1,1,
865,31080A727B1138,727A1138,E1,1,
865,31081A727B1138,727A1138,E1,1,
865,31082A727B1138,727A1138,E1,1,
865,31083A727B1138,727A1138,E1,1,
865,31084A727B1138,727A1138,E1,1,
865,31085A727B1138,727A1138,E1,1,
865,31086A727B1138,727A1138,E1,1,
865,31087A727B1138,727A1138,E1,1,
865,31088A727B1138,727A1138,E1,1,
863,32000A727B1138,727A1138,Hospital,0,
863,32001A727B1138,727A1138,Hospital,0,
863,32002A727B1138,727A1138,Hospital,0,
863,32003A727B1138,727A1138,Hospital,0,
863,32004A727B1138,727A1138,Hospital,0,
863,32005A727B1138,727A1138,Hospital,0,
863,32006A727B1138,727A1138,Hospital,0,
863,32007A727B1138,727A1138,Hospital,0,
863,32008A727B1138,727A1138,Hospital,0,
863,32009A727B1138,727A1138,Hospital,0,
863,32010A727B1138,727A1138,Hospital,0,
863,32011A727B1138,727A1138,Hospital,0,
863,32012A727B1138,727A1138,Hospital,0,
863,32013A727B1138,727A1138,Hospital,0,
863,32014A727B1138,727A1138,Hospital,0,
863,32015A727B1138,727A1138,Hospital,0,
863,32016A727B1138,727A1138,Hospital,0,
863,32017A727B1138,727A1138,Hospital,0,
863,32018A727B1138,727A1138,Hospital,0,
863,32019A727B1138,727A1138,Hospital,0,
863,32020A727B1138,727A1138,Hospital,0,
863,32021A727B1138,727A1138,Hospital,0,
863,32022A727B1138,727A1138,Hospital,0,
863,32023A727B1138,727A1138,Hospital,0,
863,32024A727B1138,727A1138,Hospital,0,
863,32025A727B1138,727A1138,Hospital,0,
863,32026A727B1138,727A1138,Hospital,0,
863,32027A727B1138,727A1138,Hospital,0,
863,32028A727B1138,727A1138,Hospital,0,
863,32029A727B1138,727A1138,Hospital,0,
863,32030A727B1138,727A1138,Hospital,0,
863,32031A727B1138,727A1138,Hospital,0,
863,32032A727B1138,727A1138,Hospital,0,
863,32033A727B1138,727A1138,Hospital,0,
863,32034A727B1138,727A1138,Hospital,0,
863,32035A727B1138,727A1138,Hospital,0,
863,32036A727B1138,727A1138,Hospital,0,
863,32037A727B1138,727A1138,Hospital,0,
863,32038A727B1138,727A1138,Hospital,0,
863,32039A727B1138,727A1138,Hospital,0,
863,32040A727B1138,727A1138,Hospital,0,
863,32041A727B1138,727A1138,Hospital,0,
863,32042A727B1138,727A1138,Hospital,0,
863,32043A727B1138,727A1138,Hospital,0,
863,32044A727B1138,727A1138,Hospital,0,
863,32045A727B1138,727A1138,Hospital,0,
863,32046A727B1138,727A1138,Hospital,0,
863,32047A727B1138,727A1138,Hospital,0,
863,32048A727B1138,727A1138,Hospital,0,
863,32049A727B1138,727A1138,Hospital,0,
863,32050A727B1138,727A1138,Hospital,0,
863,32051A727B1138,727A1138,Hospital,0,
863,32052A727B1138,727A1138,Hospital,0,
863,32053A727B1138,727A1138,Hospital,0,
863,32054A727B1138,727A1138,Hospital,0,
863,32055A727B1138,727A1138,Hospital,0,
863,32056A727B1138,727A1138,Hospital,0,
863,32057A727B1138,727A1138,Hospital,0,
863,32058A727B1138,727A1138,Hospital,0,
863,32059A727B1138,727A1138,Hospital,0,
863,32060A727B1138,727A1138,Hospital,0,
863,32061A727B1138,727A1138,Hospital,0,
863,32062A727B1138,727A1138,Hospital,0,
863,32063A727B1138,727A1138,Hospital,0,
863,32064A727B1138,727A1138,Hospital,0,
863,32065A727B1138,727A1138,Hospital,0,
